block_number,block_gas_used,tx_count,block_gas_used_lag_1,tx_count_lag_1
21330737,13059178,169,16670934.0,205.0
21330738,17713635,259,13059178.0,169.0
21330739,17417234,179,17713635.0,259.0
21330740,13775469,175,17417234.0,179.0
21330741,19058831,194,13775469.0,175.0
21330742,11551607,180,19058831.0,194.0
21330743,22817320,263,11551607.0,180.0
21330744,14001446,169,22817320.0,263.0
21330745,12986491,163,14001446.0,169.0
21330746,19942357,247,12986491.0,163.0
21330747,15055915,160,19942357.0,247.0
21330748,13120919,166,15055915.0,160.0
21330749,14644711,186,13120919.0,166.0
21330750,24122793,192,14644711.0,186.0
21330751,16219018,194,24122793.0,192.0
21330752,9327432,48,16219018.0,194.0
21330753,21959085,327,9327432.0,48.0
21330754,15009376,171,21959085.0,327.0
21330755,12275873,159,15009376.0,171.0
21330756,15511786,234,12275873.0,159.0
21330757,10997723,174,15511786.0,234.0
21330758,12774929,187,10997723.0,174.0
21330759,13471235,192,12774929.0,187.0
21330760,21252822,224,13471235.0,192.0
21330761,21127169,298,21252822.0,224.0
21330762,12283997,171,21127169.0,298.0
21330763,13281460,179,12283997.0,171.0
21330764,11138173,167,13281460.0,179.0
21330765,13815439,156,11138173.0,167.0
21330766,15756406,202,13815439.0,156.0
21330767,9836654,182,15756406.0,202.0
21330768,15894862,214,9836654.0,182.0
21330769,12639576,198,15894862.0,214.0
21330770,12445342,167,12639576.0,198.0
21330771,16979525,223,12445342.0,167.0
21330772,13015816,176,16979525.0,223.0
21330773,14049337,165,13015816.0,176.0
21330774,13292348,171,14049337.0,165.0
21330775,13252582,193,13292348.0,171.0
21330776,24397122,316,13252582.0,193.0
21330777,11566065,132,24397122.0,316.0
21330778,7341859,115,11566065.0,132.0
21330779,23074127,343,7341859.0,115.0
21330780,6981355,125,23074127.0,343.0
21330781,20676313,265,6981355.0,125.0
21330782,16653485,206,20676313.0,265.0
21330783,16364664,187,16653485.0,206.0
21330784,9359339,128,16364664.0,187.0
21330785,12050965,154,9359339.0,128.0
21330786,21365584,316,12050965.0,154.0
21330787,15626185,193,21365584.0,316.0
21330788,9373275,156,15626185.0,193.0
21330789,29037920,419,9373275.0,156.0
21330790,11110760,174,29037920.0,419.0
21330791,13906316,178,11110760.0,174.0
21330792,20166181,185,13906316.0,178.0
21330793,13011215,174,20166181.0,185.0
21330794,14487276,198,13011215.0,174.0
21330795,14630774,169,14487276.0,198.0
21330796,22782075,252,14630774.0,169.0
21330797,8288450,116,22782075.0,252.0
21330798,11323191,146,8288450.0,116.0
21330799,19132557,165,11323191.0,146.0
21330800,13535107,208,19132557.0,165.0
21330801,12951655,203,13535107.0,208.0
21330802,15869057,218,12951655.0,203.0
21330803,10482738,134,15869057.0,218.0
21330804,6989941,134,10482738.0,134.0
21330805,19972489,308,6989941.0,134.0
21330806,29455983,420,19972489.0,308.0
21330807,15550684,186,29455983.0,420.0
21330808,17399854,201,15550684.0,186.0
21330809,15011063,175,17399854.0,201.0
21330810,14866917,155,15011063.0,175.0
21330811,15746465,196,14866917.0,155.0
21330812,12262278,149,15746465.0,196.0
21330813,12505187,151,12262278.0,149.0
21330814,18515099,250,12505187.0,151.0
21330815,25570083,256,18515099.0,250.0
21330816,6985252,148,25570083.0,256.0
21330817,22785586,259,6985252.0,148.0
21330818,14942050,193,22785586.0,259.0
21330819,14623825,191,14942050.0,193.0
21330820,14782086,188,14623825.0,191.0
21330821,13213983,175,14782086.0,188.0
21330822,11938753,168,13213983.0,175.0
21330823,19040999,213,11938753.0,168.0
21330824,10964848,134,19040999.0,213.0
21330825,19169270,273,10964848.0,134.0
21330826,17657919,224,19169270.0,273.0
21330827,9988569,128,17657919.0,224.0
21330828,16138097,212,9988569.0,128.0
21330829,8988547,121,16138097.0,212.0
21330830,13513268,233,8988547.0,121.0
21330831,10422966,192,13513268.0,233.0
21330832,22985859,286,10422966.0,192.0
21330833,12364998,179,22985859.0,286.0
21330834,8139260,128,12364998.0,179.0
21330835,19095276,293,8139260.0,128.0
21330836,13597876,187,19095276.0,293.0
21330837,11202876,175,13597876.0,187.0
21330838,14650189,202,11202876.0,175.0
21330839,14736379,229,14650189.0,202.0
21330840,14473063,243,14736379.0,229.0
21330841,18107077,265,14473063.0,243.0
21330842,16757850,185,18107077.0,265.0
21330843,13503037,168,16757850.0,185.0
21330844,15018251,164,13503037.0,168.0
21330845,8533141,102,15018251.0,164.0
21330846,24163755,288,8533141.0,102.0
21330847,16251774,195,24163755.0,288.0
21330848,14205127,171,16251774.0,195.0
21330849,17777284,214,14205127.0,171.0
21330850,11462952,88,17777284.0,214.0
21330851,24671875,351,11462952.0,88.0
21330852,13488097,190,24671875.0,351.0
21330853,15458944,200,13488097.0,190.0
21330854,20257740,204,15458944.0,200.0
21330855,15396581,245,20257740.0,204.0
21330856,6702147,110,15396581.0,245.0
21330857,24762066,310,6702147.0,110.0
21330858,10828944,146,24762066.0,310.0
21330859,14897941,150,10828944.0,146.0
21330860,14634858,175,14897941.0,150.0
21330861,13634875,180,14634858.0,175.0
21330862,14393969,181,13634875.0,180.0
21330863,13557215,161,14393969.0,181.0
21330864,14359780,195,13557215.0,161.0
21330865,19733811,268,14359780.0,195.0
21330866,14391810,235,19733811.0,268.0
21330867,14466397,176,14391810.0,235.0
21330868,15188999,210,14466397.0,176.0
21330869,9075643,125,15188999.0,210.0
21330870,11670294,163,9075643.0,125.0
21330871,26064382,310,11670294.0,163.0
21330872,9913933,130,26064382.0,310.0
21330873,3876960,78,9913933.0,130.0
21330874,25982213,333,3876960.0,78.0
21330875,10055820,120,25982213.0,333.0
21330876,19179456,280,10055820.0,120.0
21330877,14897595,185,19179456.0,280.0
21330878,11430599,153,14897595.0,185.0
21330879,12536508,187,11430599.0,153.0
21330880,15621934,221,12536508.0,187.0
21330881,18397006,215,15621934.0,221.0
21330882,10168295,101,18397006.0,215.0
21330883,9754674,187,10168295.0,101.0
21330884,22058259,277,9754674.0,187.0
21330885,16278102,199,22058259.0,277.0
21330886,13294721,181,16278102.0,199.0
21330887,13713189,187,13294721.0,181.0
21330888,15998555,184,13713189.0,187.0
21330889,13494744,188,15998555.0,184.0
21330890,9787086,60,13494744.0,188.0
21330891,23582080,410,9787086.0,60.0
21330892,7238862,146,23582080.0,410.0
21330893,22996410,259,7238862.0,146.0
21330894,15172065,218,22996410.0,259.0
21330895,13608252,209,15172065.0,218.0
21330896,17670382,200,13608252.0,209.0
21330897,16716838,171,17670382.0,200.0
21330898,12902924,180,16716838.0,171.0
21330899,6160580,48,12902924.0,180.0
21330900,22206164,376,6160580.0,48.0
21330901,20737783,266,22206164.0,376.0
21330902,11615106,145,20737783.0,266.0
21330903,4701182,83,11615106.0,145.0
21330904,21467230,257,4701182.0,83.0
21330905,16221111,257,21467230.0,257.0
21330906,15360348,200,16221111.0,257.0
21330907,14067147,179,15360348.0,200.0
21330908,11520820,157,14067147.0,179.0
21330909,10988364,160,11520820.0,157.0
21330910,13723814,220,10988364.0,160.0
21330911,14852631,207,13723814.0,220.0
21330912,5723448,84,14852631.0,207.0
21330913,21514463,303,5723448.0,84.0
21330914,15577473,189,21514463.0,303.0
21330915,17910562,208,15577473.0,189.0
21330916,15177497,211,17910562.0,208.0
21330917,10650888,150,15177497.0,211.0
21330918,16767875,240,10650888.0,150.0
21330919,13907506,196,16767875.0,240.0
21330920,17326684,202,13907506.0,196.0
21330921,12672516,174,17326684.0,202.0
21330922,5583215,93,12672516.0,174.0
21330923,17143138,259,5583215.0,93.0
21330924,25700319,275,17143138.0,259.0
21330925,10769484,137,25700319.0,275.0
21330926,9687215,144,10769484.0,137.0
21330927,21020245,242,9687215.0,144.0
21330928,13502680,146,21020245.0,242.0
21330929,14242368,154,13502680.0,146.0
21330930,12654418,163,14242368.0,154.0
21330931,17658178,197,12654418.0,163.0
21330932,13110445,217,17658178.0,197.0
21330933,17530897,220,13110445.0,217.0
21330934,12130016,161,17530897.0,220.0
21330935,19140362,299,12130016.0,161.0
21330936,11561070,132,19140362.0,299.0
21330937,16919194,234,11561070.0,132.0
21330938,14782343,258,16919194.0,234.0
21330939,13503299,193,14782343.0,258.0
21330940,14811149,241,13503299.0,193.0
21330941,12372137,194,14811149.0,241.0
21330942,19000907,345,12372137.0,194.0
21330943,13034903,178,19000907.0,345.0
21330944,11171503,174,13034903.0,178.0
21330945,15000991,208,11171503.0,174.0
21330946,21738315,230,15000991.0,208.0
21330947,10590426,162,21738315.0,230.0
21330948,15803995,202,10590426.0,162.0
21330949,17855964,200,15803995.0,202.0
21330950,13183577,151,17855964.0,200.0
21330951,14817120,187,13183577.0,151.0
21330952,13199162,178,14817120.0,187.0
21330953,14141253,206,13199162.0,178.0
21330954,16171347,215,14141253.0,206.0
21330955,20913391,203,16171347.0,215.0
21330956,16345914,187,20913391.0,203.0
21330957,7908416,126,16345914.0,187.0
21330958,6164159,119,7908416.0,126.0
21330959,29979609,345,6164159.0,119.0
21330960,18937796,215,29979609.0,345.0
21330961,15117791,184,18937796.0,215.0
21330962,11576044,151,15117791.0,184.0
21330963,17363437,275,11576044.0,151.0
21330964,15227970,193,17363437.0,275.0
21330965,15399773,163,15227970.0,193.0
21330966,12992228,225,15399773.0,163.0
21330967,13974087,199,12992228.0,225.0
21330968,12003355,151,13974087.0,199.0
21330969,20939986,364,12003355.0,151.0
21330970,13941505,191,20939986.0,364.0
21330971,15265277,166,13941505.0,191.0
21330972,15734123,208,15265277.0,166.0
21330973,11250268,181,15734123.0,208.0
21330974,16710086,196,11250268.0,181.0
21330975,12986035,188,16710086.0,196.0
21330976,15911931,190,12986035.0,188.0
21330977,6875813,104,15911931.0,190.0
21330978,26924900,344,6875813.0,104.0
21330979,12802912,150,26924900.0,344.0
21330980,11976789,188,12802912.0,150.0
21330981,13714912,171,11976789.0,188.0
21330982,17491515,229,13714912.0,171.0
21330983,14561120,214,17491515.0,229.0
21330984,11856714,160,14561120.0,214.0
21330985,20838393,214,11856714.0,160.0
21330986,17267083,210,20838393.0,214.0
21330987,14381694,185,17267083.0,210.0
21330988,12074491,90,14381694.0,185.0
21330989,16260515,229,12074491.0,90.0
21330990,16755721,240,16260515.0,229.0
21330991,13058292,187,16755721.0,240.0
21330992,5958609,131,13058292.0,187.0
21330993,28079609,382,5958609.0,131.0
21330994,11864759,162,28079609.0,382.0
21330995,15391502,180,11864759.0,162.0
21330996,15691344,197,15391502.0,180.0
21330997,13247695,150,15691344.0,197.0
21330998,17163113,157,13247695.0,150.0
21330999,10255272,141,17163113.0,157.0
21331000,18920749,301,10255272.0,141.0
21331001,12243475,165,18920749.0,301.0
21331002,11766196,148,12243475.0,165.0
